,point_estimate,stdev
cap_ccgt_region1,31.00784,0.00000
cap_ocgt_region1,18.66827,0.00000
cap_transmission_region1_region2,33.25821,0.00000
cap_transmission_region1_region5,16.41790,0.00000
cap_transmission_region1_region6,0.00000,0.00000
gen_ccgt_region1,151660.25262,3418.90587
gen_ocgt_region1,5539.77679,774.64646
cap_wind_region2,35.47540,0.00000
peak_unmet_region2,2.10964,0.00000
cap_transmission_region2_region3,35.63563,0.00000
gen_wind_region2,112955.57508,6172.48018
gen_unmet_region2,18.33067,0.00000
demand_region2,486436.14000,1515.02162
cap_nuclear_region3,72.00000,0.00000
cap_ccgt_region3,42.43243,0.00000
cap_transmission_region3_region4,78.93929,0.00000
gen_nuclear_region3,597282.76611,2079.58049
gen_ccgt_region3,66765.56646,5579.89042
peak_unmet_region4,9.30392,0.26012
cap_transmission_region4_region5,9.88850,0.00000
gen_unmet_region4,82.17523,6.74944
demand_region4,476165.11000,5060.22169
cap_wind_region5,80.30226,0.00000
peak_unmet_region5,0.00000,0.00000
cap_transmission_region5_region6,28.52746,0.00000
gen_wind_region5,320820.80682,9339.52113
gen_unmet_region5,0.00000,0.00000
demand_region5,326643.44000,2360.94162
cap_ocgt_region6,24.35200,0.00000
cap_wind_region6,17.68513,0.00000
gen_ocgt_region6,5052.54137,933.84861
gen_wind_region6,29066.89886,1701.55494
cap_nuclear_total,72.00000,0.00000
cap_ccgt_total,73.44027,0.00000
cap_ocgt_total,43.02027,0.00000
cap_wind_total,133.46279,0.00000
cap_transmission_total,202.66699,0.00000
peak_unmet_total,11.41356,0.26012
peak_unmet_systemwide,11.04862,0.26012
gen_nuclear_total,597282.76611,2079.58049
gen_ccgt_total,218425.81907,8622.32213
gen_ocgt_total,10592.31816,1587.21824
gen_wind_total,462843.28076,11999.18758
gen_unmet_total,100.50590,6.74944
demand_total,1289244.69000,8560.10452
emissions_total,95844182.15359,4578055.44811
time,163.59865,0.77014
